Lake,Rainfall_avg,MeanT_avg,AirPressure_avg,AverageWind_W,AverageWind_A,compound_W,WindSpeed_Avg,Lat,Lon,PW,SDD_Mean,SDD_SD,Chlorophyll,NDVI,Depth,PD,PWLG,DepthLG,PDLG,DepthLG10,Count_W,Dur_W,Mean_W,Return_W,LHW_W,RLHW_W,Count_A,Dur_A,Mean_A,Return_A,LHW_A,RLHW_A,Count_D,Dur_D,Mean_D,Return_D,LHW_D,RLHW_D
NA_1792,1.942158874,-1.309426843,1015.452345,0.013360246,0.153492619,0.164198055,3.177458188,49.981,-87.449125,100.1089183,2.61608,1.61832,2.248703961,0.451952044,55,1.820162151,2.004789464,1.748188027,1.146781372,1.740362689,6.086956522,32.60869565,3.355012667,68.48701612,17.02354047,8.709569649,3.304347826,13.91304348,8.660369825,133.1580952,11.95628037,7.265030902,2.782608696,18.69565217,-5.305357158,-64.67107908,5.0672601,1.444538747
AF_1418,1.156076658,27.51511207,1016.332109,-0.233578749,-0.170212233,-0.096334254,3.442301525,-27.40367667,31.95617409,100.7258704,0.942555,0.607328,0.323135264,0.53722001,12,8.393822533,2.007431415,1.113943352,1.802094703,1.079181246,5.173913043,27.39130435,1.824305002,131.9821106,13.18047032,2.585634799,2.130434783,7.739130435,4.271985048,157.5972222,6.724921449,1.231412342,3.04347826,19.65217392,-2.447680046,-25.6151116,6.455548871,1.354222457
AS_1751,11.05535134,23.07211328,1010.024057,0.029029328,0.001619343,0.040541029,0.815819182,-0.612218801,100.5411655,102.9450948,0.0334426,0.198597,0.97425705,0.639956226,17.737305,5.803874647,2.016804,1.272707126,1.584656798,1.248887634,5.739130435,26.82608696,1.344790698,68.69068323,10.87010287,1.604422536,2.695652174,11.43478261,1.861167627,199.7111111,5.876922653,0.903652059,3.043478261,15.39130435,-0.516376929,-131.0204279,4.993180217,0.700770477
NA_1611,2.774678443,12.3797006,1017.655053,-0.085528106,0.117213381,-0.321760976,2.387689513,35.5377643,-80.93699341,103.419619,0.471538,0.523301,2.312544009,0.528844202,6,17.23660317,2.018782104,0.84509804,2.388814089,0.77815125,5.347826087,28.95652174,3.416971346,87.10759144,15.25522399,4.964066501,3.782608696,17.43478261,6.284831043,113.0017574,12.24597751,3.546627698,1.565217391,11.52173913,-2.867859697,-25.89416596,3.00924648,1.417438803
SA_1453,1.391611951,3.073921801,966.25,0.084163479,-0.212027908,-0.188888868,1.722409968,-15.17020823,-70.01057227,103.8216333,3.6092501,2.2239399,2.815645314,0.289015922,127.23535,0.815981041,2.020450922,2.108007761,0.958464651,2.104607789,5.608695652,26.65217391,2.416935012,88.29549689,13.0645625,8.439145428,2.347826087,9.782608696,2.280669,195.8129187,5.742516744,3.083445764,3.260869565,16.86956521,0.136266012,-107.5174218,7.322045756,5.355699664
EU_1738,1.766478276,17.46815012,1016.0894,-0.942042664,-0.521786411,-0.858174076,3.153068672,44.60811613,12.17065647,103.9760454,0.55439,0.185499,7.979682121,0.473492088,13.707031,7.585599347,2.021090208,1.167525008,1.731089437,1.136943395,5.47826087,31.34782609,3.102497085,90.56987578,15.48582667,3.960864298,4.695652174,22.7826087,4.397684649,91.00486542,14.16853105,3.489548113,0.782608696,8.56521739,-1.295187564,-0.43498964,1.31729562,0.471316185
NA_1717,1.553152732,-4.193829559,1015.380723,-0.163918473,0.049872233,-0.044844808,3.104203609,55.392125,-98.013875,104.032198,2.4326701,3.3538001,10.07565809,0.349056844,4.3310547,24.02006098,2.021322454,0.726813139,2.781075832,0.636593669,5.52173913,25.08695652,4.375355551,71.19026915,15.76187339,7.926080575,3.913043478,15.56521739,9.853872956,111.1114907,14.04368403,8.360544482,1.608695652,9.52173913,-5.478517405,-39.92122155,1.71818936,-0.434463907
AS_1654,0.580515653,1.286006285,593.9674492,0.083729018,0.72264993,0.462453472,3.198492258,32.11557497,83.54558725,104.2756184,0.834543,0.346625,1.986412502,0.098113118,45,2.317235964,2.022327801,1.662757832,1.216249151,1.653212514,6.086956522,26.52173913,3.680398967,75.6463078,16.38598774,8.145044664,3.739130435,18.08695652,5.193925236,137.711039,11.79386724,7.118723761,2.347826087,8.43478261,-1.513526269,-62.0647312,4.5921205,1.026320903
EU_1713,1.654309249,15.15049379,1016.71673,-0.598811858,-0.610668296,-0.586369041,4.581322583,46.594125,30.634625,104.5804509,0.621189,0.159585,13.12158533,0.312741627,24.723633,4.229979101,2.023583512,1.410332305,1.434827456,1.393112288,5.130434783,30.52173913,3.838398336,79.92386128,15.65872759,4.518891768,4.47826087,21.82608696,6.769877738,104.7011387,15.28663615,4.346772317,0.652173913,8.69565217,-2.931479402,-24.77727742,0.37209144,0.172119451
AS_900,0.634225878,32.87681822,995.3594274,-0.296901865,-1.411329484,-0.763063923,5.30845296,24.30606142,68.59587963,104.6265964,0.238876,0.13565,1.949915914,0.077450759,5.9433594,17.60394911,2.023773286,0.841569646,2.404760315,0.774031993,5.086956522,26.17391304,3.137580627,84.98492719,14.06994811,2.589884707,5.043478261,24.69565217,3.924281041,71.74021739,14.6680585,2.429904893,0.043478261,1.47826087,-0.786700414,13.2447098,-0.59811039,0.159979814
AS_1341,2.554067208,15.78981567,1013.638633,-0.19378863,-0.394445703,-0.187740397,2.56229346,32.27764399,116.3598912,104.9512689,0.0115306,0.0546202,7.582921701,0.43453273,7,14.99303841,2.025106162,0.903089987,2.242419019,0.84509804,5.869565217,28.82608696,3.64951437,66.37000282,16.60536496,4.509318457,5.347826087,23.08695652,4.994944985,77.9470842,16.25071267,4.330021969,0.52173913,5.73913044,-1.345430615,-11.57708138,0.35465229,0.179296488
AS_1265,3.12745347,29.07293745,1009.222331,-0.165401323,-0.482071412,-0.341070901,2.138713571,14.98060256,101.0566362,105.0463495,0.288717,0.290483,1.704993369,0.407245399,10,10.50463495,2.025495723,1.041392685,1.944987469,1,5.826086957,28.34782609,2.037172031,83.00970009,13.62329605,2.366960219,3.47826087,16.34782609,2.53990499,116.866416,9.116284343,1.531414045,2.347826087,12,-0.502732959,-33.85671591,4.507011707,0.835546174
SA_1679,3.216356553,7.074577415,1017.718843,0.106285573,0.177090964,0.135845479,1.623635329,-39.71816134,-72.2250761,105.0618165,11.5318003,1.98818,0.687764347,0.712442728,140.51367,0.747698188,2.025559061,2.150798394,0.941770771,2.147718577,5.956521739,27.43478261,1.99168132,70.57450777,13.07034577,4.905052587,3.391304348,13.56521739,4.08626343,108.9697279,9.761530032,3.225787738,2.565217391,13.86956522,-2.09458211,-38.39522013,3.308815738,1.679264849
EU_1707,1.251384716,16.26451062,1016.291935,-0.567363419,0.029944725,-0.606418181,4.283184912,45.80775,38.2285,105.6179249,0.227018,0.321809,2.602991277,0.408029135,4.0625,25.99825844,2.027830226,0.704365036,2.878947877,0.608793374,5.608695652,32.30434783,3.379355702,74.31198839,16.47512254,4.44741063,4.260869565,21.7826087,7.858159076,90.91200828,15.35510133,4.373846352,1.347826087,10.52173913,-4.478803374,-16.60001989,1.12002121,0.073564278
