Lake,Lat,Lon,PW,Chlorophyll,NDVI,Depth,PD,PWLG,DepthLG,PDLG,DepthLG10
NA_1792,49.981,-87.449125,100.1089183,2.248703961,0.451952044,55,1.820162151,2.004789464,1.748188027,1.146781372,1.740362689
AF_1418,-27.40367667,31.95617409,100.7258704,0.323135264,0.53722001,12,8.393822533,2.007431415,1.113943352,1.802094703,1.079181246
AS_1751,-0.612218801,100.5411655,102.9450948,0.97425705,0.639956226,17.737305,5.803874647,2.016804,1.272707126,1.584656798,1.248887634
NA_1611,35.5377643,-80.93699341,103.419619,2.312544009,0.528844202,6,17.23660317,2.018782104,0.84509804,2.388814089,0.77815125
SA_1453,-15.17020823,-70.01057227,103.8216333,2.815645314,0.289015922,127.23535,0.815981041,2.020450922,2.108007761,0.958464651,2.104607789
EU_1738,44.60811613,12.17065647,103.9760454,7.979682121,0.473492088,13.707031,7.585599347,2.021090208,1.167525008,1.731089437,1.136943395
NA_1717,55.392125,-98.013875,104.032198,10.07565809,0.349056844,4.3310547,24.02006098,2.021322454,0.726813139,2.781075832,0.636593669
AS_1654,32.11557497,83.54558725,104.2756184,1.986412502,0.098113118,45,2.317235964,2.022327801,1.662757832,1.216249151,1.653212514
EU_1713,46.594125,30.634625,104.5804509,13.12158533,0.312741627,24.723633,4.229979101,2.023583512,1.410332305,1.434827456,1.393112288
AS_900,24.30606142,68.59587963,104.6265964,1.949915914,0.077450759,5.9433594,17.60394911,2.023773286,0.841569646,2.404760315,0.774031993
AS_1341,32.27764399,116.3598912,104.9512689,7.582921701,0.43453273,7,14.99303841,2.025106162,0.903089987,2.242419019,0.84509804
AS_1265,14.98060256,101.0566362,105.0463495,1.704993369,0.407245399,10,10.50463495,2.025495723,1.041392685,1.944987469,1
SA_1679,-39.71816134,-72.2250761,105.0618165,0.687764347,0.712442728,140.51367,0.747698188,2.025559061,2.150798394,0.941770771,2.147718577
EU_1707,45.80775,38.2285,105.6179249,2.602991277,0.408029135,4.0625,25.99825844,2.027830226,0.704365036,2.878947877,0.608793374
NA_1685,54.083375,-101.58975,106.4938991,50.92908096,0.376797438,12,8.874491592,2.031383816,1.113943352,1.823597055,1.079181246
AS_1699,38.67410585,43.57927216,106.7929508,5.433111419,0.177199163,97.63867,1.093756713,2.032590361,1.994047208,1.019329108,1.989621855
AS_818,29.44976442,52.80657092,107.3054805,1.325600118,0.156875285,16.234375,6.609769732,2.034650433,1.236395538,1.645630682,1.210435574
NA_1587,49.454143,-68.422115,107.4025105,5.359646466,0.514813593,26,4.130865788,2.03503934,1.431363764,1.421748539,1.414973348
NA_1589,49.77623306,-77.20947243,108.0796948,9.228720812,0.386702678,5,21.61593896,2.037743914,0.77815125,2.618699017,0.698970004
AS_1430,31.18351357,35.46683111,108.0975546,0.342419469,0.007412998,317.72363,0.340225103,2.037815016,2.503414263,0.814014303,2.502049516
EU_1544,67.08177492,33.44308068,108.1615516,4.236621599,0.303042179,10.2890625,10.51228444,2.0380697,1.052657877,1.936117844,1.012375805
AS_1545,38.87176683,93.89633256,108.6779288,11.71033164,0.00704788,34.625977,3.138624184,2.04011924,1.551766783,1.314707379,1.539402036
SA_1653,-38.69277802,-67.99983063,109.7613022,3.734840271,0.159685646,9,12.19570024,2.044388053,1,2.044388053,0.954242509
NA_1541,58.816375,-99.139375,110.3042746,2.980784812,0.146737425,9,12.25603051,2.046511844,1,2.046511844,0.954242509
AF_1040,-21.94651469,43.69010496,111.3368536,21.63765841,0.479793108,65.84668,1.69084992,2.050522256,1.825079843,1.123524685,1.818533883
EU_1583,53.75505454,21.72073507,111.5763653,20.11168727,0.515636977,6.0908203,18.31877478,2.051447223,0.850696479,2.411491375,0.784675787
AS_1417,17.32356976,98.88176197,111.8881613,2.608988528,0.60848251,4.638672,24.12073139,2.052648399,0.751176833,2.732576819,0.666393665
AS_776,30.62666655,48.16191939,111.9629552,1.426087947,0.06989521,1.9814453,56.50570076,2.052936045,0.474426846,4.327191986,0.296982088
AS_1406,55.19760526,113.0232811,112.0081806,15.01349237,0.185308849,15.807617,7.085709415,2.053109883,1.225506143,1.675315864,1.198866405
NA_1598,50.015875,-124.4395,112.2098658,20.82212895,0.705700389,30.75586,3.648406053,2.053884276,1.501823879,1.367593301,1.487927875
NA_1592,43.85583922,-70.5494427,112.3883791,1.846768419,0.61759981,29.999023,3.746401311,2.054568547,1.491348006,1.377658694,1.477107111
NA_1463,36.55306527,-95.59319336,113.3351617,13.1,0.404592862,5,22.66703234,2.05817981,0.77815125,2.64496113,0.698970004
NA_1574,54.08543308,-106.1722536,113.8430537,37.9257568,0.307377822,134.5127,0.846336842,2.060104732,2.131979998,0.966287082,2.12876329
NA_1514,65.39774585,-126.1642064,115.0011946,7.494019287,0.172290391,5,23.00023892,2.064462462,0.77815125,2.653034947,0.698970004
AS_1423,25.724375,113.4435,115.5643015,3.688567608,0.637057082,3.100586,37.27176137,2.066565566,0.612845925,3.372080131,0.491443782
AS_1256,40.145875,28.6545,115.7110815,0.736665941,0.556063407,21.86914,5.291066841,2.067112093,1.359249833,1.520774212,1.339831705
NA_852,19.95402102,-101.1597396,115.7862103,0.521102215,0.294774338,27,4.288378159,2.067391566,1.447158031,1.428587287,1.431363764
AS_1378,30.43439407,112.3982179,115.8394067,28.05587504,0.432327804,6,19.30656778,2.067589343,0.84509804,2.446567434,0.77815125
SA_1562,-29.50374556,-49.9301414,115.9823003,2.766282202,0.522809011,12.630859,9.182455469,2.068120157,1.134523225,1.822898034,1.101432887
AS_1013,28.88817012,112.2404035,116.5540324,28.05587504,0.448100074,6,19.42567207,2.070237531,0.84509804,2.449701021,0.77815125
AS_1324,31.43401187,120.7725786,116.8525859,2.277304407,0.343035456,1.265625,92.32796911,2.071339116,0.355188028,5.831669289,0.102305045
EU_1538,43.14066806,12.10603775,117.7287694,15.57616697,0.530502472,3.6357422,32.38094533,2.074555966,0.666119276,3.114391131,0.560593081
NA_1302,44.19809838,-65.12006765,118.2340068,1.811207802,0.631496055,4.8710938,24.27257853,2.076400138,0.768719019,2.701117167,0.687626493
OC_1109,-36.065,147.322875,119.3294561,0.59197318,0.644491255,33.996094,3.510093133,2.080371954,1.544019574,1.34737408,1.531429021
NA_1444,49.53645951,-86.81570119,120.2077855,2.59185461,0.506427994,17,7.071046206,2.083530517,1.255272505,1.659823272,1.230448921
AS_1494,41.04493073,43.24279741,120.263618,6.268950435,0.338705631,18.78125,6.403387314,2.083730522,1.296253732,1.607502043,1.273724494
AS_1447,53.31597074,77.99093969,120.8098262,17.81943605,0.204868483,3.0195312,40.00946445,2.085682324,0.604175404,3.452113922,0.479939521
NA_1491,28.62397071,-81.62594709,120.9526152,39.97529406,0.599065589,4.9296875,24.53555427,2.086191118,0.773031806,2.698713172,0.69281939
AS_1160,59.6888167,65.65612371,121.2976629,19.5,0.391374707,1.390625,87.22528568,2.087418158,0.378511457,5.51480839,0.143210033
NA_1415,55.605,-97.561,122.1882763,8.255232474,0.421494107,4,30.54706908,2.090569378,0.698970004,2.990928603,0.602059991
NA_1426,58.62883841,-103.6836538,122.735396,28.48924446,0.21126573,20,6.1367698,2.092493953,1.322219295,1.582561955,1.301029996
AS_1089,45.9475751,124.4301661,123.7415213,1.7,0.177372309,31,3.991661977,2.096011036,1.505149978,1.39255959,1.491361694
NA_1400,46.73730616,-80.73517229,125.4186944,2.380531141,0.498025618,7.881836,15.91237047,2.101811301,0.94850275,2.215925364,0.896627394
NA_1322,58.80814647,-97.83708955,127.3459417,2.213835073,0.190020839,9,14.14954908,2.108382141,1,2.108382141,0.954242509
NA_1262,63.12872987,-92.82335824,129.0384448,1.420986556,0.090594713,2.7792969,46.42844915,2.114071767,0.577411011,3.661294512,0.443934943
AS_1279,38.12208141,90.78883302,129.6431847,3.159078316,0.055413254,42.910156,3.021270412,2.116086759,1.64256498,1.288281915,1.632560093
NA_1323,49.97740502,-91.92783608,130.8416109,5.475116012,0.456895437,7.0820312,18.47515313,2.120052501,0.907520523,2.336093177,0.850157836
AS_1330,-3.884844286,136.3119777,131.1994136,8.373143566,0.648893394,15.150391,8.659803803,2.121229529,1.208183041,1.755718676,1.180423841
NA_1276,64.58835813,-96.01559869,131.5898604,40.88511789,0.119942549,2.0605469,63.86161868,2.122510313,0.485799039,4.369111799,0.313982504
EU_1277,57.22595653,33.02015836,131.7655046,22.95886625,0.468536454,4.7841797,27.5419221,2.12308525,0.762241777,2.785317356,0.679807484
AS_1275,67.12525,92.922125,132.1532201,13.47654823,0.241323088,210,0.629301048,2.124351674,2.324282455,0.913981719,2.322219295
NA_1367,60.80337268,-162.6255788,132.6296394,34.04737073,0.087692711,15.745117,8.423541051,2.125902796,1.223888186,1.737007367,1.197145892
NA_1293,35.36115149,-94.9035465,133.3696872,13.1,0.555547053,3,44.4565624,2.128301306,0.602059991,3.535031952,0.477121255
OC_1204,-41.88418003,146.742543,133.9608094,0.585173755,0.501811661,0.99999994,133.9608174,2.130207674,0.301029983,7.076397027,-2.61E-08
AS_622,40.977125,108.8938125,134.655109,51.21095276,0.218979232,0.99999994,134.6551171,2.132436155,0.301029983,7.083799879,-2.61E-08
NA_1278,55.2405,-105.4656875,137.0097983,43.4948613,0.389211312,13,10.53921525,2.139909921,1.146128036,1.867077547,1.113943352
AS_1182,71.0053074,147.2117229,138.8800535,15.57204831,0.042000365,1.9853516,69.95237191,2.14575579,0.474995488,4.517423525,0.29783743
AS_1261,9.45353317,125.5221878,139.2086377,0.562382567,0.633053711,378.6377,0.367656569,2.14677477,2.579369334,0.832286692,2.578223853
AS_1176,40.18836987,27.96644503,140.015045,21.63054598,0.447019772,18.535156,7.554025712,2.14926545,1.290816884,1.665042871,1.267996246
AS_1207,9.02075,98.751375,141.4952797,0.603793159,0.593007367,7.0214844,20.1517616,2.153800478,0.904254743,2.381851458,0.846428935
AS_1155,37.13651068,96.93342504,142.1219786,2.753804943,0.085546574,18.335938,7.751006717,2.155706332,1.286365245,1.675812014,1.263303132
NA_1241,49.542875,-92.593625,142.8888939,5.698107492,0.499152281,5,28.57777878,2.158027274,0.77815125,2.773274827,0.698970004
OC_1245,-38.08996504,147.3171625,144.8510074,3.31901208,0.470645154,7.6054688,19.04563824,2.163909433,0.934774534,2.314899854,0.881125989
AF_953,-27.570913,25.817671,146.6894048,0.8,0.327042158,47,3.121051166,2.16934934,1.681241237,1.290326035,1.672097858
EU_1202,45.99836777,9.269008787,148.4811336,0.682678053,0.64187866,143.39746,1.035451629,2.174586383,2.159559554,1.006958284,2.156541459
NA_1195,60.997125,-162.4550625,148.5774748,29.63918052,0.122199518,18.128906,8.195611737,2.174866197,1.281690133,1.696873637,1.258371597
NA_1180,58.16176615,-104.3803382,148.8699173,20.89409826,0.22743419,20,7.443495865,2.175714468,1.322219295,1.64550198,1.301029996
AS_957,32.39673821,116.8830613,149.3800691,4.798177153,0.257290691,6.126953,24.38080872,2.17719028,0.852903895,2.552679491,0.787244549
NA_946,50.38598972,-97.64318976,150.4869147,30.19357992,0.159088552,5,30.09738294,2.180375121,0.77815125,2.801993982,0.698970004
AS_1152,51.19583207,106.3982522,155.8901327,31.77968419,0.198425095,14,11.13500948,2.19559563,1.176091259,1.866858217,1.146128036
NA_834,29.475701,-101.1279775,159.5219726,3.765431751,0.301611074,26,6.135460485,2.205534488,1.431363764,1.540862318,1.414973348
NA_1095,34.07250256,-81.35956231,159.7484883,12.8943224,0.58763403,30,5.32494961,2.206146897,1.491361694,1.479283601,1.477121255
NA_1121,43.61429229,-71.34018376,161.5800619,1.831167286,0.5398875,26.269531,6.150854459,2.211067285,1.435677669,1.540086144,1.419452319
NA_920,42.92987717,-112.7387334,161.7536946,29.20590124,0.332273289,15.650391,10.33544111,2.211530856,1.221424436,1.810616187,1.194525192
EU_1080,63.7494671,30.99101796,163.0528891,12.43696128,0.31706386,6.495117,25.1039187,2.214983883,0.874778417,2.532051364,0.812586979
AS_1119,36.04216151,140.3730968,164.082152,2.002553809,0.372257583,3.1972656,51.31952503,2.217700122,0.622966452,3.559902969,0.504778715
AS_1063,51.47962951,136.5073797,165.007465,22.48330683,0.210192383,2,82.5037325,2.220127618,0.477121255,4.653172743,0.301029996
SA_1051,-22.01302938,-41.35465965,165.1814042,4.529218357,0.581168964,2.9570312,55.86055507,2.220582424,0.597369475,3.717267987,0.470855907
AS_921,30.83271362,117.0845934,166.1748377,8.882318384,0.27767197,3,55.39161257,2.22317091,0.602059991,3.692606953,0.477121255
AF_1059,6.437497248,2.448571914,166.2863801,4.753294972,0.395473108,21.638672,7.684685091,2.223460584,1.354850947,1.641110846,1.335230604
NA_1020,45.3504145,-66.0453075,167.152361,6.292303816,0.511083074,40.47168,4.130106806,2.22570297,1.617751629,1.375800172,1.607151233
NA_1102,51.30391751,-124.0980701,168.2550675,2.854604748,0.232697354,25.980469,6.476213632,2.22854168,1.431049495,1.55727785,1.414646987
SA_1101,-39.25599177,-72.09491465,168.4300234,17.3154813,0.616534052,93.93457,1.793056842,2.228990371,1.977424388,1.127219015,1.972825452
